"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LMO4",2966.48624361338,0.287388680698492,0.0673382982308636,4.26783402979987,1.97380088003508e-05,0.000551985853308665
"LIX1L",1901.5097753297,1.77569578607602,0.303148591742888,5.85750959906175,4.69859668232286e-09,2.69412488291445e-07
"LINC01234",793.58226681779,0.815546394157967,0.143601191458865,5.67924531734532,1.35290327917266e-08,7.17921066187059e-07
"LIG3",1992.8606270766,0.41606511358225,0.113524359394442,3.6649853458906,0.000247352745503644,0.00492600974641115
"LGMNP1",1048.52041028518,0.422585599860637,0.0764555682254508,5.52720501160261,3.25372669161773e-08,1.59302085901639e-06
"LGMN",2223.60114595892,0.400451366145323,0.0805600119271553,4.97084541779143,6.66615838456532e-07,2.64279926489716e-05
"LARP1BP1",65.7168848513558,0.769795088333118,0.209908511004941,3.66728859467256,0.000245136073056055,0.00489327112185609
"LARP1B",1221.55155137004,0.692171069536705,0.0897346756149454,7.71352952237589,1.22385028683444e-14,1.25975481030964e-12
"LANCL1",3546.57188389349,0.929061875958807,0.241044389154004,3.85431861417537,0.000116052384225661,0.00260576490047814
"KRT81",842.485365911528,0.818755985921174,0.170795968601672,4.79376646079197,1.63678806397754e-06,6.06676738594018e-05
"KPNA5",761.498146845966,1.05194259630207,0.2046244985605,5.14084385644101,2.73507282303604e-07,1.16544113035454e-05
"KLHL28",840.79128829601,0.82818968812258,0.0741194018105424,11.1737233152465,5.48331582468707e-29,1.643744166604e-26
"KLF6",7629.47869653038,0.296295862940084,0.0898513531639651,3.29762271247478,0.000975070570284194,0.0157476661951286
"KLF4",1085.77229205845,1.05915834034759,0.120000940014119,8.82625036289688,1.08243570553444e-18,1.58081870944163e-16
"KLC2",2278.45584637992,0.471736582918186,0.0699773471413212,6.74127560116706,1.57002073111235e-11,1.17148228089593e-09
"KIFC1",1670.2824252531,0.389938783915777,0.1196601882113,3.25871778863669,0.0011191693732051,0.0176088831307141
"KIF5B",14563.0856861537,0.237572651690115,0.0808418129255412,2.93873483402618,0.0032955489277922,0.0430841962732864
"KIF20B",4041.79097887243,0.408165092195982,0.0823804536894178,4.95463515817482,7.24661308236608e-07,2.85306169904122e-05
"KDM7A-DT",122.326323772327,1.36334987710387,0.35958960873753,3.79140510175031,0.000149797386104177,0.00323180294995211
"KDM7A",1135.53472275775,1.21282273262743,0.201534501745022,6.01794095862493,1.7664959599875e-09,1.0665765536504e-07
"KCTD3",2793.20770584315,0.228898467498768,0.0632846881748015,3.6169644522308,0.000298078221445149,0.00578267577468261
"KBTBD2",2586.31790009841,0.462081093537991,0.154155911950688,2.99749187488705,0.00272211114876222,0.0365665984268082
"KANSL3",3002.85423588192,0.515185894530577,0.0543629263294258,9.4767873864751,2.62232182912392e-21,4.61934155610726e-19
"JADE3",729.946014548432,0.917496591498497,0.224730527832422,4.0826522339798,4.45246266441207e-05,0.00113720821445156
"JADE1",2056.72290824881,1.11433609127383,0.341927059998848,3.25898772468487,0.00111810505639111,0.0176083512429078
"ISCA2P1",69.2605306127658,1.06342687009985,0.273715028216829,3.88516069807259,0.000102262223548715,0.00235492535549447
"ISCA2",990.245037370113,0.897675620385479,0.0878211131349759,10.2216379221453,1.58637410930022e-24,3.52030836436531e-22
"IRGQ",898.6588122079,0.609637739470668,0.161687312023222,3.77047358782926,0.00016293804721921,0.00348450865185813
"IQGAP3",4424.56101639809,0.661971773355618,0.0599425951078647,11.0434286697868,2.35857910475823e-28,6.94845537293171e-26
"IPO11",2605.0674535974,0.147972117522136,0.044394872338076,3.33309028113198,0.000858870678775838,0.0142067021183376
"INVS",1563.56757124553,0.297458512341123,0.0862460498141123,3.44895230543592,0.000562766093223252,0.0098721513277486
"INTS13",3276.40614036432,0.477939303099337,0.10731199474982,4.45373608247217,8.43888220761817e-06,0.00026169724189033
"INPPL1",6309.73336742603,0.713908803905633,0.0828364748991314,8.61829049069203,6.79610899376033e-18,9.14370979341596e-16
"IFT74",2062.74119231249,0.439441330452678,0.122066967975397,3.60000201316748,0.000318214716601866,0.00613002802996176
"IFIT3",1650.16948248239,0.759533570582704,0.234606697409362,3.23747607792033,0.00120592049530174,0.0186644596949464
"IFIT2",1380.2090596277,1.08502526841973,0.338533476057355,3.20507525889671,0.00135027170105115,0.0206739180608074
"IFFO2",1006.93138574817,0.607025072761825,0.115542550931065,5.25369284190365,1.49079426588442e-07,6.58222264112845e-06
"IER3IP1",1349.93790628643,0.812338728327212,0.210558066105103,3.85802711505585,0.000114305969404076,0.00257826396169577
"IER3",278.969240358384,0.520638961426556,0.126008388915275,4.13178016089565,3.59964608696575e-05,0.000943361237545762
